收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,1117.99
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,战痕累累,34906,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,759.5
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,久经沙场,38649,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,2700.0
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,破损不堪,38650,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,755.0
Chroma Case,加利尔AR（StatTrak™） | 喧闹骷髅,隐秘级,0.35 ~ 0.85,战痕累累,38648,Chroma Case,rarity_ancient_weapon,StatTrak™ Galil AR | Chatterbox,crate-4061,710.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,崭新出厂,45261,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,728.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,略有磨损,45385,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,357.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,久经沙场,45262,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,228.0
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,破损不堪,45263,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,207.89
Clutch Case,M4A4 | 黑色魅影,隐秘级,0 ~ 0.9,战痕累累,45384,Clutch Case,rarity_ancient_weapon,M4A4 | Neo-Noir,crate-4471,177.0
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,崭新出厂,45269,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,538.0
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,略有磨损,45386,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,258.8
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,久经沙场,45270,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,214.0
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,破损不堪,45465,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,206.5
Clutch Case,MP7 | 血腥运动,隐秘级,0 ~ 0.65,战痕累累,45464,Clutch Case,rarity_ancient_weapon,MP7 | Bloodsport,crate-4471,200.0
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,崭新出厂,763469,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,2030.0
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,略有磨损,763311,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,365.5
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,久经沙场,763250,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,271.98
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,破损不堪,763504,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,274.5
Danger Zone Case,AK-47 | 二西莫夫,隐秘级,0.05 ~ 0.7,战痕累累,763353,Danger Zone Case,rarity_ancient_weapon,AK-47 | Asiimov,crate-4548,262.89
Danger Zone Case,AK-47（StatTrak™） | 二西莫夫,隐秘级,0.05 ~ 0.7,崭新出厂,763486,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AK-47 | Asiimov,crate-4548,3395.0
Danger Zone Case,AK-47（StatTrak™） | 二西莫夫,隐秘级,0.05 ~ 0.7,略有磨损,763476,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AK-47 | Asiimov,crate-4548,777.76
