收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,999.5
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,战痕累累,763318,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,273.58
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,崭新出厂,763420,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,608.75
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,略有磨损,763423,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,441.64
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,久经沙场,763429,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,316.3
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,破损不堪,763514,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,333.29
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,战痕累累,763488,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,315.02
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,崭新出厂,887070,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,793.0
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,略有磨损,886753,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,469.9
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,久经沙场,886981,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,444.99
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,破损不堪,887021,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,437.02
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,战痕累累,887029,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,401.29
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,崭新出厂,887090,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,860.08
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,略有磨损,887058,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,434.13
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,久经沙场,887057,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,381.88
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,破损不堪,887080,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,383.49
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,战痕累累,887072,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,377.97
Dreams & Nightmares Case,MP9 | 星使,隐秘级,0 ~ 0.8,崭新出厂,887008,Dreams & Nightmares Case,rarity_ancient_weapon,MP9 | Starlight Protector,crate-4818,625.99
Dreams & Nightmares Case,MP9 | 星使,隐秘级,0 ~ 0.8,略有磨损,887043,Dreams & Nightmares Case,rarity_ancient_weapon,MP9 | Starlight Protector,crate-4818,468.0
