皮肤名称,市场哈希名称,平台,平台物品ID
SSG 08（StatTrak™） | 黑水 (久经沙场),StatTrak™ SSG 08 | Dark Water (Field-Tested),BUFF,39548
SSG 08（StatTrak™） | 黑水 (久经沙场),StatTrak™ SSG 08 | Dark Water (Field-Tested),C5,22340
SSG 08（StatTrak™） | 黑水 (久经沙场),StatTrak™ SSG 08 | Dark Water (Field-Tested),HALOSKINS,22340
CZ75自动型 | 猛虎 (崭新出厂),CZ75-Auto | Tigris (Factory New),BUFF,34336
CZ75自动型 | 猛虎 (崭新出厂),CZ75-Auto | Tigris (Factory New),C5,22341
CZ75自动型 | 猛虎 (崭新出厂),CZ75-Auto | Tigris (Factory New),YOUPIN,44322
CZ75自动型 | 猛虎 (崭新出厂),CZ75-Auto | Tigris (Factory New),HALOSKINS,22341
印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,BUFF,40142
印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,YOUPIN,48518
印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,HALOSKINS,22342
印花 | Flipsid3 Tactics（闪亮）| 2015年科隆锦标赛,Sticker | Flipsid3 Tactics (Foil) | Cologne 2015,C5,22342
内格夫（StatTrak™） | 青绿地形 (略有磨损),StatTrak™ Negev | Terrain (Minimal Wear),BUFF,39144
内格夫（StatTrak™） | 青绿地形 (略有磨损),StatTrak™ Negev | Terrain (Minimal Wear),YOUPIN,11212
内格夫（StatTrak™） | 青绿地形 (略有磨损),StatTrak™ Negev | Terrain (Minimal Wear),C5,22343
内格夫（StatTrak™） | 青绿地形 (略有磨损),StatTrak™ Negev | Terrain (Minimal Wear),HALOSKINS,22343
M4A4 | 狮鹫 (略有磨损),M4A4 | Griffin (Minimal Wear),YOUPIN,5288
M4A4 | 狮鹫 (略有磨损),M4A4 | Griffin (Minimal Wear),C5,22344
M4A4 | 狮鹫 (略有磨损),M4A4 | Griffin (Minimal Wear),BUFF,35297
M4A4 | 狮鹫 (略有磨损),M4A4 | Griffin (Minimal Wear),HALOSKINS,22344
M4A4 | 杀意大名 (略有磨损),M4A4 | Evil Daimyo (Minimal Wear),C5,22345
M4A4 | 杀意大名 (略有磨损),M4A4 | Evil Daimyo (Minimal Wear),BUFF,35287
M4A4 | 杀意大名 (略有磨损),M4A4 | Evil Daimyo (Minimal Wear),YOUPIN,279
M4A4 | 杀意大名 (略有磨损),M4A4 | Evil Daimyo (Minimal Wear),HALOSKINS,22345
PP-野牛（StatTrak™） | 水纹之印 (破损不堪),StatTrak™ PP-Bizon | Water Sigil (Well-Worn),YOUPIN,58912
PP-野牛（StatTrak™） | 水纹之印 (破损不堪),StatTrak™ PP-Bizon | Water Sigil (Well-Worn),BUFF,39423
PP-野牛（StatTrak™） | 水纹之印 (破损不堪),StatTrak™ PP-Bizon | Water Sigil (Well-Worn),C5,22346
PP-野牛（StatTrak™） | 水纹之印 (破损不堪),StatTrak™ PP-Bizon | Water Sigil (Well-Worn),HALOSKINS,22346
P250（StatTrak™） | 超新星 (久经沙场),StatTrak™ P250 | Supernova (Field-Tested),BUFF,39288
P250（StatTrak™） | 超新星 (久经沙场),StatTrak™ P250 | Supernova (Field-Tested),YOUPIN,46376
P250（StatTrak™） | 超新星 (久经沙场),StatTrak™ P250 | Supernova (Field-Tested),C5,22347
P250（StatTrak™） | 超新星 (久经沙场),StatTrak™ P250 | Supernova (Field-Tested),HALOSKINS,22347
Tec-9（StatTrak™） | 艾萨克 (久经沙场),StatTrak™ Tec-9 | Isaac (Field-Tested),BUFF,39651
Tec-9（StatTrak™） | 艾萨克 (久经沙场),StatTrak™ Tec-9 | Isaac (Field-Tested),C5,22348
Tec-9（StatTrak™） | 艾萨克 (久经沙场),StatTrak™ Tec-9 | Isaac (Field-Tested),YOUPIN,42967
Tec-9（StatTrak™） | 艾萨克 (久经沙场),StatTrak™ Tec-9 | Isaac (Field-Tested),HALOSKINS,22348
